"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-0.470153957211154,3.46264274429646,-5.25853801285766,5.27990038470938e-07,0.00533700836141377,5.89862929295496,"NT5E"
-0.573284772097001,2.12847188430003,-5.22434325754068,6.16526004231523e-07,0.00533700836141377,5.62473217397019,"CPS1"
-0.548130204846045,2.73382776127999,-5.16944261658842,7.89731926814704e-07,0.00533700836141377,5.48023728369634,"CYP2J2"
-0.532622248783834,1.84193915604296,-4.7576408856728,4.7979943974011e-06,0.0144641613728656,3.78233537734497,"CYP7B1"
-0.290830067890947,6.70654775656263,-4.65417178125426,7.43575083199439e-06,0.0144641613728656,3.51055144289126,"SASH1"
-0.755213224929824,1.34727530301433,-4.70428494469335,6.01887800631988e-06,0.0144641613728656,3.50992597089044,"FREM2"
0.299675630812573,2.97131586464781,4.6407896067767,7.86560459175975e-06,0.0144641613728656,3.43525574198843,"RFLNB"
-0.510786910039375,1.96450319087496,-4.6105067577203,8.92879268388228e-06,0.0144641613728656,3.25697518973068,"OBI1-AS1"
-0.461658155387381,1.7518789635704,-4.61697680808296,8.6905809973962e-06,0.0144641613728656,3.25285860046452,"PPP1R3G"
-0.284893042096753,5.1162944810289,-4.57866305543666,1.01960982303076e-05,0.0144641613728656,3.22143889628054,"SLITRK2"
-0.677042836537655,-0.677814964243809,-4.77420879393813,4.47034044864535e-06,0.0144641613728656,3.20787658542302,"PRF1"
-0.428293097660389,4.17371479802275,-4.56580696543985,1.07554883493015e-05,0.0144641613728656,3.17348340758057,"EGLN3"
-0.36310368694446,5.83457736968473,-4.55942998313049,1.10438370496475e-05,0.0144641613728656,3.14744867032242,"LIFR"
-0.470929008041124,4.17478900154604,-4.54746984167614,1.16048790691383e-05,0.0144641613728656,3.10432484545914,"ADARB2"
-0.74852060770079,0.471525728090773,-4.62795159644633,8.30048316979263e-06,0.0144641613728656,3.07340722008066,"HPR"
-0.383656063009108,4.4577977362449,-4.51736464848175,1.3141472131688e-05,0.0145785929516749,2.9910345114203,"RFTN2"
-0.362828520094587,1.92870924080667,-4.53680280541536,1.21283783830875e-05,0.0144641613728656,2.97932443345673,"TMEM229A"
-0.461551028733664,1.3947298399248,-4.55099443700366,1.14367466865954e-05,0.0144641613728656,2.9732122727334,"MBNL3"
-0.353331931996326,1.8358932434186,-4.49734536572249,1.42699502194399e-05,0.0145785929516749,2.82743895902689,"ZNF100"
-0.352569876471847,6.3892217715854,-4.47445089308286,1.56750534250911e-05,0.0151331444352522,2.82670630376022,"PHLPP1"
-0.638880000364756,4.75321236330075,-4.4491683047905,1.73815188440016e-05,0.0160178596837858,2.73663098827601,"EDNRB"
-0.297495230447869,4.15855653480494,-4.39803838489626,2.13955742101146e-05,0.0187407943651449,2.54817252337569,"CYP4V2"
-0.337278006776761,3.53215508015704,-4.37897438271869,2.31093942551358e-05,0.0187407943651449,2.47786361614896,"TRIB1"
-0.303928232620522,5.89843369810276,-4.349667900868,2.60040223815126e-05,0.0202771365293379,2.36414126474845,"PIK3C2A"
-0.505948129763049,7.05055049254926,-4.32958335276911,2.81857745258348e-05,0.0204085140263134,2.29200963914042,"KCNJ10"
-0.315833044805066,4.05832981368951,-4.27306296894044,3.53103490315601e-05,0.0223028735350313,2.09462263147873,"TRPS1"
-0.336772380905655,7.06084622988278,-4.27473388328683,3.50769004604909e-05,0.0223028735350313,2.09252623813265,"MYO10"
-0.146962615167589,3.15232009937647,-4.26528333569894,3.64170387321646e-05,0.0223028735350313,2.06625263477408,"TP53RK"
-0.354866817431167,4.85423506772173,-4.25846953695227,3.74136084607983e-05,0.0223028735350313,2.03543155216787,"GASK1B"
-0.340765891246253,4.35005009646111,-4.25543332247328,3.78660571888223e-05,0.0223028735350313,2.02930188611818,"ZHX2"
-0.277882073244634,3.35919014065083,-4.23340542069797,4.13093732863996e-05,0.0223028735350313,1.95447085117408,"PDLIM3"
-0.268513312908375,4.04430781892467,-4.23055191491986,4.17768031938308e-05,0.0223028735350313,1.94206664747531,"ZBTB37"
-0.389563613605413,3.28199292667782,-4.21594697480527,4.42497260848847e-05,0.0223028735350313,1.8925125422502,"CECR2"
-0.772090446255207,-0.447612264883901,-4.33887057248553,2.7155906918243e-05,0.0203910687726096,1.87354031371607,"LINC00499"
-0.449284739408651,4.18542109308807,-4.20092081854938,4.69401330471698e-05,0.0223028735350313,1.83674312880092,"GPAM"
-0.495477247150606,4.8652474693206,-4.20119876256378,4.68889741901224e-05,0.0223028735350313,1.83193878724809,"MEGF10"
-0.321268856914008,4.18527432687223,-4.19135998159473,4.87328436917882e-05,0.0223028735350313,1.80150439758327,"SH3BP4"
-0.235016249922495,2.51739106855154,-4.19172778255555,4.86626820001672e-05,0.0223028735350313,1.79551282805764,"PPM1D"
-0.216408104986859,7.30964591124039,-4.19163511564531,4.86803500095299e-05,0.0223028735350313,1.79500154491459,"SIK3"
-0.355575319198305,4.05407433684291,-4.18260325509001,5.04321840503849e-05,0.0223028735350313,1.77392871698293,"ABCA1"
-0.320633051314159,2.14496000832013,-4.185916590051,4.97826240857288e-05,0.0223028735350313,1.7603852675773,"MGAT4C"
-0.356344924579216,6.59230613081777,-4.17246251786188,5.24710480639243e-05,0.0226340006052766,1.72374204694398,"PAQR8"
-0.277700707517121,1.4789555484083,-4.18173699537884,5.06033433269922e-05,0.0223028735350313,1.69955392212597,"ERI2"
-0.4075930947396,0.562261018737702,-4.20732344325559,4.57751221663938e-05,0.0223028735350313,1.67824721515544,"AQP6"
-0.209938543135706,2.44749096333559,-4.14689380432696,5.79681833348675e-05,0.0228317414242562,1.63902465256557,"AFG1L"
-0.169250215789853,2.76683955355324,-4.14190441505592,5.91033106057259e-05,0.0228317414242562,1.62953463405151,"LCMT2"
-0.26880319168229,5.30716088964356,-4.13728018881442,6.01743307528383e-05,0.0228317414242562,1.59970983683038,"ZFYVE16"
1.09383778132423,-1.60436407850855,4.38644114367992,2.24229759803054e-05,0.0187407943651449,1.58709691784536,"LINC02193"
-0.206227090803484,5.46826907111969,-4.13101688145926,6.1654627608402e-05,0.0228317414242562,1.57639586075768,"FBXO7"
-0.271192501057257,3.99696841736312,-4.12325857503188,6.35366031946948e-05,0.0228317414242562,1.56385999123999,"RIN2"
-0.408938999894074,1.66940521345518,-4.13210865216254,6.13941106987593e-05,0.0228317414242562,1.55127655605767,"SLC44A3"
-0.315022888078536,2.60555270355993,-4.11868799742085,6.46709077152635e-05,0.0228317414242562,1.54664445297168,"AGA"
-0.499839659916796,7.03730288232693,-4.11947523442105,6.44741637836529e-05,0.0228317414242562,1.53851613972601,"GPR37L1"
-0.375236249494217,5.46204922267137,-4.11145674023045,6.65051873513247e-05,0.0228317414242562,1.50927267944727,"FAT1"
-0.331653278645779,6.10357720682713,-4.11076586761188,6.66830148915981e-05,0.0228317414242562,1.50485082991077,"ITGAV"
-0.45105986790703,8.48063334069075,-4.10734779815747,6.75695218237827e-05,0.0228317414242562,1.50330695272401,"GPRC5B"
0.324011356972164,1.20011789439314,4.1152424605292,6.55387833901198e-05,0.0228317414242562,1.45342041908223,"ABCC6"
-0.271621112580379,2.39904386991021,-4.08734636868323,7.29873239340363e-05,0.0242581148432566,1.43489787473014,"MYH15"
-0.461370389915984,-1.41446725911022,-4.29486193533487,3.2378617642751e-05,0.0223028735350313,1.42343119267676,"LOC105375614"
-0.272560752573373,-0.0180475032298782,-4.15422509110907,5.63380392897035e-05,0.0228317414242562,1.40451237561691,"GGACT"
-0.350953063744559,7.19788463410238,-4.07890976211093,7.53949499039741e-05,0.0246541486185995,1.39690172532697,"AMER2"
-0.317134720905287,4.97462310423481,-4.0696415203476,7.81273561802369e-05,0.0251421272888591,1.36557016936454,"GNA13"
-0.382826515876923,4.90895539460195,-4.06247964367639,8.03033195310518e-05,0.025438585940196,1.34264724316977,"BMP7"
-0.294146746081871,3.26256375190925,-4.05335954900318,8.31581323713143e-05,0.0255446662984247,1.32821077637528,"ZNF708"
-0.405476922755987,4.86671396235227,-4.05524557878515,8.2559921886006e-05,0.0255446662984247,1.31662094947687,"SGK1"
-0.273620384742524,4.81539603376867,-4.04784094340152,8.49323941426909e-05,0.0257002889380435,1.29139907959078,"TEAD1"
-0.238180913126667,5.14981563835476,-4.04214156735064,8.68026937908927e-05,0.0258799678517141,1.26756337371814,"KLHL24"
-0.223564354610589,3.45798209839239,-4.03554485505527,8.90165665712095e-05,0.0261553894299232,1.26611326543201,"TEP1"
