"gene","coef"
"TSKU",0.429418416464153
"PDPK2P",-0.0693275925581266
"LOC100421094",-0.106463592458251
"RNU6-415P",-0.578862619512023
"POMZP3",0.931280324666016
"PRF1",-1.18687630331427
"RNF212",2.12921276721208
"NPIPA5",0.0513216683075728
"SIGIRR",0.233130777022361
"THOC3",-1.60289224518856
"PLA2G4E",0.337602278399568
"GRIP2",-0.585176258319746
"CYP1B1-AS1",0.159513549101594
"LOXL1-AS1",0.281936349520729
"CD69",-0.260212509326036
"ZSCAN31",-0.467720758465521
"NPIPB2",0.00738963288897056
"MUC20",-0.00125505916722075
"LRCOL1",0.0544370324202791
"KRTAP5-AS1",-1.70766270995412
"LOC107985433",-0.119461511395986
"MARK2P19",0.0275616206633658
"WNT2B",0.252624007408102
"RPSAP19",0.0526209134690207
"NR4A1AS",-0.0749901818491011
"PCDHB8",-0.000597673778482224
"KRT81",-0.00438725975766073
"PRSS55",-0.00350592741770981
"TNFRSF17",0.0961530284239061
"ARSFP1",-0.145941344863854
"WNT3A",-0.174583221647006
"HNRNPA3P14",0.0597825591370614
"VWDE",0.165858933730874
"FZD4-DT",0.269132520504217
"GOLGA8R",0.39095332171692
"NOMO2",0.451779992875662
"FAM66B",-1.29603414918582
"PSPHP1",-0.290675472423839
"WEE2-AS1",0.514377733893255
"FOXL2NB",1.0338802070936
"RPL36A",-0.238780474906176
"PRSS12",0.407675119020319
"TEAD1-AS1",-0.0746650646936437
"MS4A8",0.0571077625961834
"BDKRB2",0.309051500118721
"RGPD8",-0.587712858157391
"RN7SL381P",0.000481844880469038
